GEOID,NAME,ABBR,year,index_id,index_label,index_type,category,dimension,index_level,n_members,frac_present,index_score_100
12,Florida,FL,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,58.848230409034926
13,Georgia,GA,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,53.02328941283642
15,Hawaii,HI,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,26.170188549166365
16,Idaho,ID,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,51.41956580592056
17,Illinois,IL,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,53.83683596178074
18,Indiana,IN,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,54.45667350106611
19,Iowa,IA,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,58.36590345012857
20,Kansas,KS,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,86.37359592314388
21,Kentucky,KY,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,49.73866209652446
22,Louisiana,LA,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,36.15759410592248
23,Maine,ME,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,52.50211311793805
24,Maryland,MD,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,57.74591938622298
25,Massachusetts,MA,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,41.82764283653144
26,Michigan,MI,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,53.646431707208336
27,Minnesota,MN,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,43.529846200039785
28,Mississippi,MS,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,35.90306946572438
29,Missouri,MO,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,58.86123749724004
30,Montana,MT,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,49.74125010477155
31,Nebraska,NE,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,54.51209387558154
32,Nevada,NV,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,39.530313001126714
33,New Hampshire,NH,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,50.729188760850704
34,New Jersey,NJ,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,34.683436607302994
35,New Mexico,NM,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,52.06030666528587
36,New York,NY,2023,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,34.628341957311264
