GEOID,NAME,ABBR,year,index_id,index_label,index_type,category,dimension,index_level,n_members,frac_present,index_score_100
30,Montana,MT,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,50.189176720683726
31,Nebraska,NE,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,53.7494362198225
32,Nevada,NV,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,30.623402793934215
33,New Hampshire,NH,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,53.68711887112537
34,New Jersey,NJ,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,33.83681781009055
35,New Mexico,NM,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,50.30514530288606
36,New York,NY,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,35.90989717443474
37,North Carolina,NC,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,42.27545949073111
38,North Dakota,ND,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,72.61048747123765
39,Ohio,OH,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,66.17233030261222
40,Oklahoma,OK,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,70.72284929546078
41,Oregon,OR,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,36.125426351695424
42,Pennsylvania,PA,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,63.22613105563575
44,Rhode Island,RI,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,66.3497984399657
45,South Carolina,SC,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,25.06546963026081
46,South Dakota,SD,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,85.60709025321515
47,Tennessee,TN,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,39.59158237155448
48,Texas,TX,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,66.06157373450537
49,Utah,UT,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,52.24675207377738
50,Vermont,VT,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,29.636845505698886
51,Virginia,VA,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,48.00516420924217
53,Washington,WA,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,24.438245658225366
54,West Virginia,WV,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,34.90886345041385
55,Wisconsin,WI,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,37.93357560157936
56,Wyoming,WY,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,1,25.803745822718113
72,Puerto Rico,PR,2024,index_eq_institutional_living,Institutional Living Index (Equity),scorecard_index,CL,equity,scorecard,2,0,NA
000,United States,USA,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,50.11486348069399
01,Alabama,AL,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,59.38087669100504
02,Alaska,AK,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,61.15678882709878
04,Arizona,AZ,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,53.92757026960574
05,Arkansas,AR,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,49.04692637709326
06,California,CA,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,50.60789895609065
08,Colorado,CO,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,51.865385554686284
09,Connecticut,CT,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,40.93843315935137
10,Delaware,DE,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,59.78631777281534
11,District of Columbia,DC,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,54.45344316311178
12,Florida,FL,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,58.46272765271443
13,Georgia,GA,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,59.0920134245811
15,Hawaii,HI,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,56.06959463623253
16,Idaho,ID,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,56.579174005573336
17,Illinois,IL,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,43.35167808147974
18,Indiana,IN,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,50.54261689539798
19,Iowa,IA,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,31.99214675623358
20,Kansas,KS,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,37.21504992623983
21,Kentucky,KY,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,44.05875308455937
22,Louisiana,LA,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,53.66918818295898
23,Maine,ME,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,41.564846611997815
24,Maryland,MD,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,50.24122540952957
25,Massachusetts,MA,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,40.93239224675279
26,Michigan,MI,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,47.36599061157381
27,Minnesota,MN,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,35.769263588528446
28,Mississippi,MS,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,52.206240266499265
29,Missouri,MO,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,41.02531531769996
30,Montana,MT,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,47.75928287400849
31,Nebraska,NE,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,38.40877573982152
32,Nevada,NV,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,59.379377643383805
33,New Hampshire,NH,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,37.05422364563355
34,New Jersey,NJ,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,51.221388656879626
35,New Mexico,NM,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,52.28779994274946
36,New York,NY,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,43.668882233441295
37,North Carolina,NC,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,57.41829191353172
38,North Dakota,ND,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,38.16060939381094
39,Ohio,OH,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,43.43719777512478
40,Oklahoma,OK,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,49.86138085725505
41,Oregon,OR,2024,index_eq_community_participation,Community Participation Index (Equity),category_index,CP,equity,category,4,1,48.062470128538834
