KFF - Custom State Reports

"","United States","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","Dist. of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Iowa","Indiana","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"Total Medicaid Spending, FY 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Social Security Disability Insurance (SSDI)* is a federal entitlement program that provides disability payments to individuals (and in certain instances to their surviving spouses and children) who have been (a) deemed medically disabled due to a physical or mental impairment that prevents them from working for a year or more or that is expected to result in death; and who (b) have earned enough work credits to receive SSDI payments (the number of credits needed depends on age). Federal law requires a 5-month waiting period after becoming disabled before receipt of SSDI cash benefits. SSDI recipients are eligible for Medicare coverage following an additional 24-month waiting period, resulting in a total of 29 months before receipt of health benefits through Medicare for SSDI recipients.    *Supplemental Security Income (SSI)* is a federal entitlement program that provides cash assistance to low-income aged, blind, and disabled individuals. Individuals receiving SSI benefits are eligible for Medicaid coverage in all states except ""section 209(b)"" states, which have opted to use their more restrictive 1972 criteria in determining Medicaid eligibility for SSI recipients. Section 209(b) of the 1972 amendments to the Social Security Act allowed states the option of continuing to use their own eligibility criteria in determining Medicaid eligibility for the elderly and disabled rather than extending Medicaid coverage to all of those individuals who qualify for SSI benefits. As of 2001, eleven states (Connecticut, Hawaii, Illinois, Indiana, Minnesota, Missouri, New Hampshire, North Dakota, Ohio, Oklahoma, and Virginia) had elected the ""209(b)"" option to apply their 1972 eligibility criteria to aged or disabled individuals receiving SSI benefits for purposes of determining Medicaid eligibility.   *Disabled widow(er)*: must be disabled and be at least 50 years old.   *Disabled worker*: beneficiary who worked in employment covered by Social Security long enough to be insured and who had been working recently in employment covered by Social Security prior to disability onset.   *Adult children*: adult disabled before the age of 22."

"SSDI and SSI Beneficiaries as a Percent of Population Under Age 65"
"Footnotes"
"United States: An additional 38,357 children under age 18 and students aged 18–19 received SSI and SSDI in the U.S."
"Notes"
"SSDI and SSI beneficiaries are reported as of December in the year specified. SSDI beneficiaries include disabled workers, widowers, and adult children. To be eligible for the Social Security Disability Insurance Program, a person must be insured for benefits, be younger than full retirement age, have filed an application for benefits, and have a Social Security-defined disability. To be eligible for the Supplemental Security Income Program, a person must be age 65 or older, blind, or disabled, and have limited income, limited resources, have filed an application for benefits, and met certain other requirements. The total number of SSDI and SSI beneficiaries is calculated as a sum of the state data and excludes United States territories and foreign countries.    Population numbers are rounded to the nearest 100."
"Sources"
"Social Security Administration, <a href=""https://www.ssa.gov/policy/docs/statcomps/di_asr/index.html"">Annual Statistical Report on the Social Security Disability Insurance Program</a>, 2022 (Table 9). Social Security Administration, <a href=""https://www.ssa.gov/policy/docs/statcomps/ssi_asr/index.html"">Annual Statistical Report on the Supplemental Security Income Program</a>, 2022 (Tables 10 and 16). KFF State Health Facts, [Population Distribution by Age](https://www.kff.org/other/state-indicator/distribution-by-age/)."
"Definitions"
"*Social Security Disability Insurance (SSDI)* is a federal entitlement program that provides disability payments to individuals (and in certain instances to their surviving spouses and children) who have been (a) deemed medically disabled due to a physical or mental impairment that prevents them from working for a year or more or that is expected to result in death; and who (b) have earned enough work credits to receive SSDI payments (the number of credits needed depends on age). Federal law requires a 5-month waiting period after becoming disabled before receipt of SSDI cash benefits. SSDI recipients are eligible for Medicare coverage following an additional 24-month waiting period, resulting in a total of 29 months before receipt of health benefits through Medicare for SSDI recipients.    *Supplemental Security Income (SSI)* is a federal entitlement program that provides cash assistance to low-income aged, blind, and disabled individuals. Individuals receiving SSI benefits are eligible for Medicaid coverage in all states except ""section 209(b)"" states, which have opted to use their more restrictive 1972 criteria in determining Medicaid eligibility for SSI recipients. Section 209(b) of the 1972 amendments to the Social Security Act allowed states the option of continuing to use their own eligibility criteria in determining Medicaid eligibility for the elderly and disabled rather than extending Medicaid coverage to all of those individuals who qualify for SSI benefits. As of 2001, eleven states (Connecticut, Hawaii, Illinois, Indiana, Minnesota, Missouri, New Hampshire, North Dakota, Ohio, Oklahoma, and Virginia) had elected the ""209(b)"" option to apply their 1972 eligibility criteria to aged or disabled individuals receiving SSI benefits for purposes of determining Medicaid eligibility.   *Disabled widow(er)*: must be disabled and be at least 50 years old.   *Disabled worker*: beneficiary who worked in employment covered by Social Security long enough to be insured and who had been working recently in employment covered by Social Security prior to disability onset.   *Adult children*: adult disabled before the age of 22."

"Distribution of SSI Beneficiaries by Age"
"Footnotes"
"United States: U.S. total does not include territories. In the Northern Mariana Islands there are 296 beneficiaries under age 18, 444 ages 18 to 64, and 161 age 65 or older. Also, U.S. total does not include beneficiaries of unknown residence. There are 20 beneficiaries of unknown residence under age 18, 132 ages 18 to 64, and 95 age 65 or older."
"United States: U.S. total does not include territories. In the Northern Mariana Islands there are 270 beneficiaries under age 18, 414 ages 18 to 64, and 164 age 65 or older. Also, U.S. total does not include beneficiaries of unknown residence. There are 8 beneficiaries of unknown residence under age 18, 71 ages 18 to 64, and 45 age 65 or older."
"United States: U.S. total does not include territories. In the Northern Mariana Islands there are 250 beneficiaries under age 18, 407 ages 18 to 64, and 168 age 65 or older. Also, U.S. total does not include beneficiaries of unknown residence. There are 15 beneficiaries of unknown residence under age 18, 67 ages 18 to 64, and 46 age 65 or older."
"United States: U.S. total does not include territories. In the Northern Mariana Islands there are 234 beneficiaries under age 18, 386 ages 18 to 64, and 161 age 65 or older. Also, U.S. total does not include beneficiaries of unknown residence. There are 12 beneficiaries of unknown residence under age 18, 68 ages 18 to 64, and 42 age 65 or older."
"United States: The total number of SSI beneficiaries is calculated as a sum of the state data and excludes United States territories and foreign countries."
"United States: The total number of SSI beneficiaries includes territories."
"United States: The total number of SSI beneficiaries includes territories."
"United States: The total number of SSI beneficiaries includes territories."
"United States: The total number of SSI beneficiaries includes territories."
"United States: The total number of SSI beneficiaries includes territories."
"United States: The total number of SSI beneficiaries includes territories."
"United States: The total number of SSI beneficiaries includes territories."
"United States: The total number of SSI beneficiaries includes territories."
"United States: The total number of SSI beneficiaries includes territories."
"United States: The total number of SSI beneficiaries includes territories."
"United States: The total number of SSI beneficiaries includes territories."
"United States: The total number of SSI beneficiaries includes territories."
"Notes"
"SSI beneficiaries are reported as of December in the year specified. To be eligible for the Supplemental Security Income Program, a person must be age 65 or older, blind, or disabled, and have limited income, limited resources, have filed an application for benefits, and met certain other requirements. Totals may not equal 100% due to rounding."
"Sources"
"[SSI Annual Statistical Report, 2006-2022](https://www.ssa.gov/policy/docs/statcomps/ssi_asr/index.html), Table 10. Social Security Administration, Office of Retirement and Disability Policy, Office of Research, Evaluation, and Statistics. "
"Definitions"
"*Supplemental Security Income (SSI)* is a federal entitlement program that provides cash assistance to low-income aged, blind, and disabled individuals. Individuals receiving SSI benefits are eligible for Medicaid coverage in all states except ""section 209(b)"" states, which have opted to use their more restrictive 1972 criteria in determining Medicaid eligibility for SSI recipients. Section 209(b) of the 1972 amendments to the Social Security Act allowed states the option of continuing to use their own eligibility criteria in determining Medicaid eligibility for the elderly and disabled rather than extending Medicaid coverage to all of those individuals who qualify for SSI benefits. As of 2001, eleven states (Connecticut, Hawaii, Illinois, Indiana, Minnesota, Missouri, New Hampshire, North Dakota, Ohio, Oklahoma, and Virginia) had elected the ""209(b)"" option to apply their 1972 eligibility criteria to aged or disabled individuals receiving SSI benefits for purposes of determining Medicaid eligibility."

"Age Distribution of Disabled Workers Under 65 in SSDI"
"Notes"
"SSDI workers are reported as of December in the year specified. SSDI beneficiaries include disabled workers, widowers, and adult children. In 2022, 85% of SSDI beneficiaries were SSDI (disabled) workers. To be eligible for the Social Security Disability Insurance Program, a person must be insured for benefits, be younger than full retirement age, have filed an application for benefits, and have a Social Security-defined disability. The total number of SSDI workers is calculated as a sum of the state data and excludes United States territories and foreign countries."
"Sources"
"Social Security Administration, <a href=""https://www.ssa.gov/policy/docs/statcomps/di_asr/index.html"">Annual Statistical Report on the Social Security Disability Insurance Program</a>, 2022 (Table 27)."
"Definitions"
"*Social Security Disability Insurance (SSDI)* is a federal entitlement program that provides disability payments to individuals (and in certain instances to their surviving spouses and children) who have been (a) deemed medically disabled due to a physical or mental impairment that prevents them from working for a year or more or that is expected to result in death; and who (b) have earned enough work credits to receive SSDI payments (the number of credits needed depends on age). Federal law requires a 5-month waiting period after becoming disabled before receipt of SSDI cash benefits. SSDI recipients are eligible for Medicare coverage following an additional 24-month waiting period, resulting in a total of 29 months before receipt of health benefits through Medicare for SSDI recipients.   *Disabled worker*: beneficiary who worked in employment covered by Social Security long enough to be insured and who had been working recently in employment covered by Social Security prior to disability onset."
