GEOID,NAME,ABBR,year,index_id,index_label,index_type,category,dimension,index_level,n_members,frac_present,index_score_100
36,New York,NY,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,49.67193281547868
37,North Carolina,NC,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,65.64530221933487
38,North Dakota,ND,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,38.47410480952479
39,Ohio,OH,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,44.1903897243126
40,Oklahoma,OK,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,28.91583997604797
41,Oregon,OR,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,65.35333878232775
42,Pennsylvania,PA,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,56.947068530826556
44,Rhode Island,RI,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,72.92257282250745
45,South Carolina,SC,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,49.71933769788459
46,South Dakota,SD,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,40.90255790704
47,Tennessee,TN,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,53.653989210989735
48,Texas,TX,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,52.72233906751066
49,Utah,UT,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,45.32955044791045
50,Vermont,VT,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,28.85046970526511
51,Virginia,VA,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,56.863987135442294
53,Washington,WA,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,81.8113393373021
54,West Virginia,WV,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,28.21785755423707
55,Wisconsin,WI,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,41.450188606943925
56,Wyoming,WY,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,46.480419307066065
72,Puerto Rico,PR,2024,index_eq_commute,Transportation Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,37.105644693363246
000,United States,USA,2024,index_eq_education,Education Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,48.18350084360114
01,Alabama,AL,2024,index_eq_education,Education Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,77.26403912223446
02,Alaska,AK,2024,index_eq_education,Education Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,52.38863048827146
04,Arizona,AZ,2024,index_eq_education,Education Access Index (Equity),scorecard_index,CP,equity,scorecard,2,1,49.50317438365286
